16	317.000000	310.000000	317.000000	398.000000	305.000000	324.000000	316.000000	314.000000	342.000000	422.000000	311.000000	311.000000	305.000000	305.000000	342.000000	305.000000	307.000000	301.000000	344.000000	308.000000	310.000000	306.000000	311.000000	306.000000	320.000000	304.000000	292.000000	302.000000	295.000000	298.000000	
32	610.000000	642.000000	610.000000	618.000000	626.000000	622.000000	646.000000	634.000000	611.000000	725.000000	610.000000	606.000000	609.000000	607.000000	606.000000	620.000000	615.000000	608.000000	599.000000	605.000000	625.000000	608.000000	606.000000	614.000000	611.000000	610.000000	621.000000	598.000000	610.000000	641.000000	
64	1269.000000	1258.000000	1271.000000	1232.000000	1260.000000	1226.000000	1248.000000	1238.000000	1257.000000	1339.000000	1244.000000	1236.000000	1246.000000	1253.000000	1339.000000	1298.000000	1276.000000	1222.000000	1279.000000	1274.000000	1258.000000	1278.000000	1253.000000	1240.000000	1272.000000	1226.000000	1296.000000	1235.000000	1289.000000	1243.000000	
128	2545.000000	2607.000000	2494.000000	2504.000000	2593.000000	2525.000000	2506.000000	2513.000000	2507.000000	2545.000000	2547.000000	2520.000000	2488.000000	2525.000000	2480.000000	2544.000000	2572.000000	2663.000000	2494.000000	2525.000000	2526.000000	2496.000000	2542.000000	2519.000000	2509.000000	2664.000000	2632.000000	2498.000000	2479.000000	2626.000000	
256	5223.000000	4972.000000	5051.000000	5029.000000	5009.000000	5089.000000	5035.000000	5038.000000	5022.000000	5060.000000	5107.000000	4984.000000	5008.000000	5149.000000	5118.000000	5118.000000	4961.000000	5118.000000	5078.000000	5024.000000	5109.000000	4971.000000	5038.000000	5088.000000	5020.000000	5088.000000	5043.000000	5024.000000	4958.000000	4932.000000	
512	10188.000000	10195.000000	10149.000000	10115.000000	10186.000000	10067.000000	10133.000000	10002.000000	10061.000000	10024.000000	10089.000000	10082.000000	9969.000000	10094.000000	10056.000000	10095.000000	10067.000000	10147.000000	10032.000000	10174.000000	9990.000000	10103.000000	10040.000000	10190.000000	10126.000000	10013.000000	10171.000000	10076.000000	10193.000000	10167.000000	
1024	20405.000000	20536.000000	20886.000000	20340.000000	20181.000000	20395.000000	20285.000000	20470.000000	20320.000000	20369.000000	20342.000000	20221.000000	20274.000000	20275.000000	20383.000000	20265.000000	20267.000000	20328.000000	20536.000000	20756.000000	20766.000000	20151.000000	20427.000000	20532.000000	20668.000000	20224.000000	20284.000000	20460.000000	20304.000000	20442.000000	
2048	41023.000000	41163.000000	41123.000000	41324.000000	40886.000000	40823.000000	40824.000000	40876.000000	40898.000000	41569.000000	40786.000000	40802.000000	40656.000000	40537.000000	40619.000000	40396.000000	40938.000000	40888.000000	40807.000000	41066.000000	41164.000000	40824.000000	40460.000000	40944.000000	40613.000000	40562.000000	40668.000000	41194.000000	41140.000000	40396.000000	
4096	82301.000000	81505.000000	82576.000000	81702.000000	82427.000000	81354.000000	82139.000000	82247.000000	82612.000000	82202.000000	81770.000000	81939.000000	82135.000000	82560.000000	81714.000000	81622.000000	81776.000000	82327.000000	82196.000000	81998.000000	81683.000000	81840.000000	80982.000000	81079.000000	81803.000000	81411.000000	81964.000000	82073.000000	81046.000000	81479.000000	
8192	173254.000000	174455.000000	172620.000000	171241.000000	172526.000000	174546.000000	172380.000000	172004.000000	172465.000000	171988.000000	172562.000000	177317.000000	173825.000000	172337.000000	169131.000000	169733.000000	171208.000000	170746.000000	171507.000000	175299.000000	174619.000000	172618.000000	172863.000000	172776.000000	174145.000000	173435.000000	173294.000000	172389.000000	172678.000000	170811.000000	
