100	8677502.000000	2618.500000	0.002680	0
200	77158537.000000	22816.000000	0.022686	0
300	271287865.000000	83059.000000	0.084847	0
400	693325409.000000	207920.000000	0.212749	0
500	1467316595.000000	457248.000000	0.443782	0
600	2508507271.000000	804898.000000	0.812863	0
700	4237305450.000000	1351944.000000	1.330708	0
800	8160201071.000000	2485083.000000	2.696418	0
900	15125770730.000000	5345116.000000	4.954845	0
1000	20254137948.000000	5996848.000000	6.006898	0
1100	45580308179.000000	13695529.000000	13.677718	0
1200	67636443984.000000	20623507.000000	20.677885	0
1300	88262397156.000000	27019506.000000	28.105599	0
1400	105123877263.000000	31969547.000000	32.163369	0
1500	139965130445.000000	42546626.000000	45.691540	0
